step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.0166701440810968,-3.2517853,2.0692189,0.5004426,0.99999905,-0.0007371367,-0.00073749444,0.000881877,-1.0842022e-20,7.228015e-21,-0.0296647,-0.1768503,-0.177022,0.21162722,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.69603825,4.421523,-0.8267226,16.681
10,-1.0172702582768889,-3.2517834,2.069217,0.50252557,0.9999886,-0.0025754096,-0.002582913,0.0030848586,-0.00019261078,0.00019174092,-0.14684351,-0.17622413,-0.17725259,0.21139573,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.7987914,4.6339617,-0.5773244,9.285416
15,-1.017719649843008,-3.2517734,2.0692072,0.5070482,0.9999665,-0.004407136,-0.0044306917,0.005285392,-0.00070732075,0.0007009281,-0.26390094,-0.17559677,-0.17747906,0.2111677,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.9513278,4.902357,-0.23183596,-1.7152138
20,-1.035073847663198,-3.2517369,2.069171,0.51284647,0.9998894,-0.007408549,-0.008599524,0.009613674,-0.002795042,0.0027494035,-0.2728544,-0.14584897,-0.41712934,0.5074285,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.5408182,4.6998672,-0.47164476,21.846626
25,-1.0459712186615713,-3.2516224,2.069069,0.51819456,0.99970984,-0.010897922,-0.014321579,0.016011173,-0.008696005,0.00732506,-0.19032598,-0.55412495,-0.52139294,0.5079922,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5035744,3.830637,0.32551646,-11.531555
30,-1.038980855290569,-3.25133,2.068829,0.52088916,0.9995053,-0.019094437,-0.016645422,0.018642874,-0.01863932,0.015591515,-0.06746724,-0.712327,-0.030977448,0.34027487,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.0416937,3.0338087,-0.6551882,38.219803
35,-1.0461197985594444,-3.2508721,2.0684214,0.5228274,0.9992179,-0.027787622,-0.017007679,0.022406843,-0.02657697,0.025509657,-0.043039955,-0.925734,-0.00013982857,0.22992262,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.5864329,-4.032543,0.3262117,39.751892
40,-1.0327257329630157,-3.2502022,2.067708,0.52301717,0.99900174,-0.035254285,-0.0181925,0.020534405,-0.036822576,0.042142473,0.036448926,-0.5048458,-0.055224683,-0.48358908,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.92289877,0.46150637,-0.55139905,38.80835
45,-1.0265460002804634,-3.249324,2.0666227,0.5219012,0.9987955,-0.04117466,-0.019845769,0.017841218,-0.046199683,0.059879843,0.07639527,-0.558934,-0.20781454,-0.019953202,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.7585592,0.5844884,-0.84373945,43.359886
50,-1.0268722390201686,-3.2483172,2.0652864,0.5217804,0.9984975,-0.047027312,-0.021892874,0.017659811,-0.049804192,0.06711216,-0.04126306,-0.55822325,-0.20745005,-0.019935707,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.071847916,0.3501296,-0.8575946,42.5366
