step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.0294299227810826,-4.026482,1.4915504,0.49910837,0.9999942,0.0011612895,-0.003021689,-0.0010212924,-0.00014405078,-0.0001437525,0.090100035,-0.013973662,-0.59495157,-0.0016368176,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.5247803,-4.785717,-0.23510623,34.627487
10,-1.0161560379959158,-4.0264573,1.4915606,0.49668324,0.9999663,0.001921169,-0.007865087,-0.0013353587,-0.001999529,-0.0006987976,0.11932666,0.057894386,-0.30663654,-0.13798277,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.9154778,1.5874882,0.62580276,43.321777
15,-1.0373220747063452,-4.026363,1.4915873,0.49333987,0.9999109,0.0022733593,-0.011549203,-0.0062936204,-0.0064122835,-0.0016492357,0.18334684,0.014996764,-0.6231701,-0.4597024,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.495533,-1.078371,0.85400426,43.244003
20,-1.0277123129833048,-4.0261607,1.4916352,0.48901352,0.9997973,0.0032620574,-0.017184876,-0.009970631,-0.011048251,-0.002518991,0.17475837,0.14912534,-0.48652238,-0.2715016,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6880789,-2.590268,-0.2683931,44.279312
25,-1.0302893666287893,-4.025851,1.4917018,0.485642,0.99964803,0.003801443,-0.023220064,-0.012254936,-0.016707662,-0.0035219777,0.12923077,0.024502404,-0.60223323,-0.2077268,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.30225,-2.6766677,0.9272727,42.3992
30,-1.015744289362723,-4.0252924,1.4918076,0.48098266,0.99954724,0.005063008,-0.026904529,-0.012483149,-0.032517903,-0.0059541473,0.2552514,0.071029045,-0.28886428,0.2037635,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.2451184,0.16645193,-0.1525659,42.193275
35,-1.02120743544512,-4.024416,1.4919659,0.47457805,0.99945664,0.0043648207,-0.030259883,-0.012317243,-0.051604398,-0.009160908,0.39611343,-0.080189176,-0.48038545,-0.10546584,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.8086843,-2.6469126,0.30234158,34.142426
40,-1.0300725877290327,-4.0232015,1.4921752,0.46660522,0.99928373,0.004334989,-0.035747573,-0.01163437,-0.06326039,-0.010675195,0.37931764,0.02092063,-0.6796366,0.02423187,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.2030706,-0.42776394,0.0154351,44.851784
45,-1.0357572658339942,-4.0216637,1.4924217,0.45825648,0.99906135,0.0054670386,-0.041953128,-0.009299979,-0.08249158,-0.012818458,0.43287835,-0.026134467,-0.7010134,0.41039175,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.2302952,-0.7028408,-0.4419192,44.268005
50,-1.0177123882511574,-4.019773,1.4927092,0.44977453,0.9988329,0.0057035093,-0.047421936,-0.007179123,-0.09613597,-0.014412609,0.38667992,0.061795946,-0.44449344,0.10483998,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0526328,0.4485836,0.33363128,20.473518
