step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.025604983255827,3.5573418,-0.072726645,0.50022125,0.9999965,0.0012527092,0.0012552596,0.0019822533,1.5703663e-05,-1.569155e-05,-0.022194741,0.1775573,0.17797205,0.44010112,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.3543105,-2.7026036,-0.45703018,43.129547
10,-1.0311400415034797,3.5573373,-0.07272212,0.50159675,0.9999646,0.0019528884,0.001964059,0.007945895,0.000352589,-0.000349572,-0.106277764,0.04050836,0.03968226,0.60540634,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.1342406,-1.5025365,-0.7459048,-5.677994
15,-1.0340732586803316,3.5573225,-0.07270762,0.5046078,0.9998786,0.0039562695,0.0028594814,0.014796966,0.0009911199,-0.0009713288,-0.16692804,0.30069986,0.03229112,0.5867356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.9109931,-0.2589841,-0.88910764,-3.52528
20,-1.0340445871891215,3.5572937,-0.072674885,0.50923955,0.99975127,0.007071564,0.0031858324,0.020910269,0.001979973,-0.0026137996,-0.20978546,0.30002087,0.03424466,0.58594674,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.8775554,2.3879032,-0.054153144,33.315254
25,-1.0398001122383287,3.5572362,-0.07258432,0.513575,0.99954855,0.007281383,0.0017198724,0.029098962,0.003185465,-0.0054623852,-0.21584824,-0.12137093,-0.12367071,0.7505324,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5379162,-1.9858537,-0.47205043,-6.056694
30,-1.0410158020193607,3.5571628,-0.07244319,0.51868564,0.99928194,0.007105917,0.0017295999,0.037176322,0.0037206537,-0.0076240157,-0.26520652,0.054260686,0.074785784,0.78466254,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.821054,3.3925562,-0.32958436,30.458275
35,-1.0268640483122977,3.557077,-0.07225532,0.5246327,0.9990011,0.0069238623,0.0022449063,0.044088807,0.0044457265,-0.010070051,-0.28810018,0.06776719,0.109218225,0.48657933,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.80266523,4.222995,-0.8008446,-2.3829918
40,-1.0370145516120308,3.55697,-0.0720105,0.5306748,0.99866956,0.008348129,0.0033508525,0.050775774,0.006060861,-0.013819512,-0.22873263,0.25500277,-0.059915733,0.6711002,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.78805876,-0.5802803,0.030445337,-12.087589
45,-1.0358712665122394,3.556823,-0.07167829,0.5353711,0.99831194,0.011882281,0.0037133277,0.056729656,0.007944214,-0.018023832,-0.20360085,0.29609296,-0.0070159393,0.630084,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.0405378,2.328227,-0.7745324,39.622635
50,-1.0308143686716054,3.5566447,-0.07126755,0.54070574,0.99791616,0.014565164,0.003884018,0.0627381,0.009420816,-0.022228964,-0.24158564,0.23374489,0.044900812,0.54209554,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.6679885,1.0790877,-0.36583537,40.508774
55,-1.0266339684919235,3.556436,-0.07076698,0.5469742,0.9975148,0.01692501,0.003130975,0.068322994,0.010366979,-0.025218707,-0.34296766,0.20641948,-0.042533554,0.44921535,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.11250162,-2.1177876,-0.47729123,-23.810944
60,-1.0187076462327052,3.5562065,-0.070183545,0.5549659,0.99726677,0.019440118,0.0018886576,0.07125661,0.011580817,-0.030601498,-0.39251873,0.21273221,-0.049541365,0.25428942,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.86529636,-1.3823855,-0.23748857,32.130013
65,-1.0251395660474547,3.555953,-0.06947814,0.56391823,0.996981,0.022998055,0.002877087,0.074105605,0.012412687,-0.03527825,-0.4764355,0.33459866,0.11406525,0.27579817,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.05765152,1.0297303,-0.85858923,31.12165
70,-1.0280150803533892,3.5556834,-0.06868726,0.57516164,0.99662024,0.025841521,0.0030274875,0.07791777,0.0133513,-0.039879378,-0.5807335,0.22152731,-0.048218943,0.44619587,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3867736,-0.6981807,-0.06566596,-33.399654
75,-1.0263760032641849,3.5553796,-0.067730114,0.587313,0.9962705,0.029069846,0.0036644456,0.081158444,0.015040771,-0.048170682,-0.6228623,0.25563714,0.00303309,0.38497597,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7556918,3.0,3.0,3.0,-1.9480987,3.7984476,0.007253051,6.388031
80,-1.0179941607127556,3.5550163,-0.066483654,0.5985641,0.9959948,0.028297102,0.0030454649,0.084760815,0.018230502,-0.06386841,-0.55086166,-0.15877104,-0.0053135757,0.250253,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7434604,3.0,3.0,3.0,0.86964226,-0.44624996,-0.9389583,-12.019386
85,-1.0302037988247428,3.5546105,-0.065021634,0.6101892,0.99562466,0.027709851,0.0044216714,0.089129925,0.020583374,-0.0756479,-0.5390124,-0.00855411,0.18946378,0.5188408,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.729318,3.0,3.0,3.0,-2.197916,1.0321035,0.016245842,33.91987
