step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.007426305901814,2.6784472,-1.7713501,0.49790466,0.9999997,-0.00049227953,-0.0004923567,0.00028502932,3.2526066e-20,-1.0842022e-20,0.20069727,-0.118126206,-0.11816326,0.06840032,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.9957862,1.9151978,0.901603,-35.563805
10,-1.0185257280445248,2.6784534,-1.7713562,0.4908648,0.9999954,-0.0026156611,-0.0014866746,-0.00029109968,-0.0006355176,0.0006338391,0.4277355,-0.38414586,-0.16739969,-0.06659237,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.413429,-3.2762408,0.41951728,-12.163017
15,-1.0122509522516279,2.6784794,-1.771389,0.48111176,0.99997914,-0.0046478757,-0.0032271093,-0.003117803,-0.0020187872,0.0027156884,0.5388202,-7.694771e-05,-0.035877626,-0.3088803,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.832974,-3.0329757,0.65853226,-32.97737
20,-1.0413216505832779,2.6785398,-1.7714686,0.4698291,0.9999373,-0.0023416686,-0.005934833,-0.009203281,-0.0035113895,0.004450599,0.53755814,0.31271785,-0.3574145,-0.75111896,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.81906366,-0.51026917,0.6495116,-34.313183
25,-1.0421232818402184,2.6786382,-1.7715712,0.45906118,0.99981695,0.0023668432,-0.011133037,-0.015377091,-0.005660044,0.0049273707,0.48944655,0.35454133,-0.40268147,-0.71126795,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0970595,-1.0246892,-0.2690841,-44.739437
30,-1.0394974384545563,2.6787844,-1.7716676,0.45020387,0.99962497,0.006483012,-0.014559188,-0.022268448,-0.008101738,0.004308403,0.38617972,0.3830588,-0.23808397,-0.6896546,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.55142593,3.931696,-0.4093809,-33.887344
35,-1.0320011738031531,2.6790085,-1.7717328,0.44286585,0.99939555,0.009276659,-0.018073458,-0.028211128,-0.012608413,0.0022716406,0.32958955,0.19231844,-0.4070304,-0.48919776,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.163617,3.5979414,-0.78686285,-42.562096
40,-1.0333128420273427,2.6793277,-1.7717532,0.43705726,0.99914044,0.010321028,-0.021253027,-0.034060754,-0.017808687,-0.00019874485,0.25926256,0.06206786,-0.254493,-0.62772226,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.4312153,0.15573025,-0.421817,-43.745068
45,-1.0400442401842422,2.6797585,-1.7717228,0.43284816,0.9988214,0.010368721,-0.023342986,-0.041273274,-0.023151578,-0.00252541,0.17499991,-0.059211157,-0.10300188,-0.7959841,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.3239913,-3.4673042,0.116695166,-42.237473
50,-1.0567751078746936,2.6803272,-1.7716358,0.42995137,0.9982907,0.010603282,-0.025548292,-0.051483564,-0.03073738,-0.0054778787,0.12601511,-0.0643338,-0.06865355,-1.1299424,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.1481767,-2.7418017,0.8102479,-41.913868
