step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.0032117175765878,-3.4586062,3.4348936,0.49975303,0.9999999,0.00033004244,-0.00033009448,-0.0001910943,-8.608877e-06,-8.607204e-06,-0.020360759,0.03959147,-0.039603956,-0.02292524,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6921749,-0.011516094,-0.33285725,37.84748
10,-1.0092360949021633,-3.4586048,3.434895,0.5010418,0.9999992,0.0002636104,-0.0012207656,-0.00015328226,-0.00015167963,-0.00015156477,-0.06550309,-0.07536517,-0.15435846,0.043313682,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.1335392,0.07329273,-0.85903555,-8.576595
15,-1.0089344103341955,-3.4585946,3.4348989,0.5026347,0.9999958,-0.00051970273,-0.002827952,0.00029901828,-0.000972547,-0.00015520472,-0.034307536,-0.075214274,-0.1542446,0.043271504,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.4447141,1.15168,0.03713143,31.472244
20,-1.027496500624225,-3.4585538,3.4348972,0.502664,0.9999781,-0.00236354,-0.0061449795,-0.00063978333,-0.0028705655,0.0003571184,0.02655858,-0.08753957,-0.4058639,-0.36412266,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.4769716,3.350193,-0.62982893,40.880432
25,-1.0189308893617524,-3.458466,3.4348793,0.50259817,0.9999351,-0.0030913297,-0.010143101,-0.0041693705,-0.0053307246,0.0012543927,-0.004247156,0.012991676,-0.30155483,-0.23593387,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.08916426,1.8648195,0.030296445,-17.21565
30,-1.0036416205854595,-3.458293,3.4348333,0.5021582,0.9999082,-0.0039142566,-0.011747618,-0.0055000344,-0.009997185,0.002779995,0.017745946,0.047527175,-0.059995726,-0.023841891,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.4313858,0.7962074,-0.33065754,2.250595
35,-1.0110999117270472,-3.458056,3.4347658,0.5031156,0.99990153,-0.003700388,-0.0120812,-0.0061074523,-0.012853513,0.003697415,-0.0662125,-0.084696196,0.07814785,-0.19440487,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.5923932,-3.0908237,-0.1598897,39.264534
40,-1.0162262820881294,-3.4577436,3.4346755,0.50520986,0.9998732,-0.004146035,-0.0130719375,-0.008089904,-0.01731943,0.005049842,-0.08734354,-0.20430648,-0.24944858,-0.062656306,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.7638545,1.6023207,-0.8901831,28.652397
45,-1.007623890415717,-3.4573016,3.4345431,0.50652325,0.99986297,-0.0048088143,-0.014228226,-0.006964573,-0.02534839,0.0077665574,0.006419157,-0.0313817,-0.07513254,0.15018204,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6930723,-1.6218905,-0.27244377,29.776169
50,-1.0128500534082874,-3.4567025,3.434357,0.50643843,0.9998808,-0.0042769676,-0.0141811855,-0.00436462,-0.0323518,0.010133185,0.048312996,0.0671663,0.025613394,0.27522862,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.8209078,1.5421648,-0.9765661,27.00219
55,-1.0298315197711516,-3.4559467,3.4341207,0.5050918,0.9998726,-0.0063102674,-0.014641544,-0.00072167267,-0.03944495,0.012364589,0.094335854,-0.43660688,-0.14376971,0.44542903,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.7165663,-0.9843731,0.42806697,34.845642
60,-1.0368914427333369,-3.4549952,3.4338088,0.50130814,0.99980116,-0.0076793004,-0.018118985,0.0032117926,-0.05045281,0.017064579,0.25193503,-0.2697191,-0.5520787,0.5138764,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.4564843,-0.80400276,0.32453275,34.77597
65,-1.0495991862558032,-3.453825,3.433404,0.4953906,0.9996706,-0.008080476,-0.021504924,0.011440803,-0.06123638,0.021486023,0.32953715,0.14971143,-0.09553075,1.0550033,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.0895302,4.0010242,0.21699035,37.368668
70,-1.0310096263074588,-3.4523995,3.4329019,0.48762122,0.9994915,-0.009879037,-0.02198166,0.020877983,-0.073017515,0.025795538,0.39602134,-0.18539086,-0.087226614,0.68456125,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.43853712,-2.2779555,0.50463223,32.00215
75,-1.0166861418210114,-3.4507368,3.4323058,0.47876438,0.9993199,-0.010583704,-0.024357421,0.025581192,-0.08502108,0.03071034,0.4564203,-0.24989611,-0.16489331,0.3247784,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.5703883,-1.5464549,0.4585929,42.44101
80,-1.0091693859000206,-3.448868,3.4316273,0.46980995,0.9992231,-0.012480125,-0.026638735,0.026225716,-0.0915655,0.033343278,0.38515908,-0.19832371,-0.2039269,0.033347923,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.3883424,3.209239,-0.22869045,42.397743
85,-1.0225727164831628,-3.4467804,3.4308527,0.46100873,0.99915093,-0.015485776,-0.026820607,0.02717038,-0.10848216,0.04094062,0.49277598,-0.5701339,0.078906976,-0.038229164,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.376213,3.6225224,-0.75100255,18.565453
90,-1.0277284951146803,-3.4444106,3.4299355,0.45124754,0.999111,-0.020697739,-0.026482007,0.02544643,-0.119782045,0.047887217,0.49882108,-0.57272935,0.08816849,-0.3754536,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.6539063,-1.1345007,-0.3226121,29.279518
95,-1.0283683654358808,-3.4418411,3.4288797,0.44200942,0.9990784,-0.026387252,-0.026264025,0.02136011,-0.12724131,0.05406723,0.43616012,-0.61592096,-0.16160701,-0.30478466,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.5033946,-3.1932573,-0.41078895,-4.946419
100,-1.0254085417251178,-3.4391005,3.4276626,0.43379357,0.9989122,-0.032371517,-0.028231626,0.01815001,-0.13576667,0.062829405,0.3903647,-0.48174915,-0.28343448,-0.3454046,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.4372983,0.26569128,0.40473306,15.727509
105,-1.008873964281569,-3.436112,3.4261749,0.42540842,0.99891114,-0.033878416,-0.029184751,0.013305786,-0.14756435,0.076061554,0.3914492,0.019602861,0.010311786,-0.33606282,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.054705143,2.7677588,-0.7671929,15.751961
110,-1.0085358565139302,-3.4329205,3.4244566,0.4178078,0.9988276,-0.035556104,-0.030660648,0.011796007,-0.15602589,0.08573837,0.33172613,-0.24676734,-0.23304403,-0.05422107,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.28094,-3.7806704,0.70280874,-8.539417
115,-1.0061260055926708,-3.4295256,3.4225054,0.4110838,0.99877506,-0.036196414,-0.030858178,0.013638682,-0.16740246,0.09874744,0.31260726,0.05706146,0.12942149,0.26513585,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.7306523,-1.2462354,-0.65242136,43.95224
