step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.0194236346084258,4.0078793,-3.5302765,0.49812365,0.99999624,-0.001168017,0.0011693757,-0.0021835202,0.00016642395,0.00016613954,0.1689378,-0.022410415,0.021684406,-0.4038071,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.4893246,1.8427606,0.59878325,15.576675
10,-1.0442502094498787,4.00786,-3.5302954,0.49211556,0.9999325,-0.0035294166,0.00355042,-0.010482006,0.0017371986,0.0017183576,0.38184783,-0.1655573,0.16537686,-0.88607633,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.8862605,-0.861392,0.60053885,39.059174
15,-1.0382823950565345,4.0077977,-3.530356,0.48299918,0.9997759,-0.0027614338,0.0048868093,-0.02041172,0.0041127764,0.003909108,0.50608027,0.17721933,0.1525467,-0.77013844,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.297245,3.2494917,0.5081421,24.323875
20,-1.0271885497204212,4.007693,-3.5304487,0.4729878,0.99962157,-0.0025215978,0.005278714,-0.026878752,0.0057018166,0.004772026,0.46391186,0.068510026,-0.016922314,-0.5727491,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5649061,2.6856208,-0.5602558,-24.17034
25,-1.0298024349493347,4.007552,-3.5305574,0.46386132,0.9994104,-0.0031513956,0.0058861123,-0.033680104,0.007835611,0.00565623,0.4563545,-0.263974,0.007978151,-0.57340235,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.744554,-3.6410804,0.423303,-8.436405
30,-1.0105406414931435,4.0073457,-3.530697,0.45338702,0.9992908,-0.004142479,0.006049491,-0.036933653,0.011884151,0.007848157,0.5749688,0.1337628,0.014721534,-0.21717449,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5873332,1.3199115,0.58886576,39.330505
35,-1.018353574841105,4.007068,-3.5308795,0.44161716,0.99915665,-0.003557135,0.0071259434,-0.04028125,0.014226869,0.009255903,0.5508026,0.017891124,0.14555585,-0.37972093,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.58320093,0.34109163,-0.3386131,26.925186
40,-1.020362490490617,4.0067453,-3.5310838,0.4309133,0.9989802,-0.004783115,0.008431139,-0.044097308,0.016721314,0.010317184,0.50919354,-0.18211682,0.006833924,-0.4091697,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0957403,-3.5848064,0.6567359,37.342216
45,-1.0144142165913244,4.0063505,-3.5313215,0.42014438,0.9988183,-0.005249977,0.007595244,-0.047716033,0.020107374,0.012013222,0.5062398,-0.23380524,-0.16588429,-0.15770496,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.8711877,-3.3598616,0.36847126,32.561867
50,-1.0120677224694488,4.005901,-3.5315907,0.41018224,0.9988682,-0.0055928063,0.007567534,-0.04662328,0.022454197,0.013495878,0.45293766,-0.05564671,-0.020431412,0.27057987,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.45730686,1.8194079,0.36457908,38.825264
