step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.0152954715547902,-2.1074967,-0.14760546,0.4979424,0.9999983,0.0009265578,-0.0015112078,-0.00053681276,-6.486267e-05,-6.48353e-05,0.19649129,0.0646299,-0.3452693,-0.037860975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2738056,-2.439687,0.8404031,-43.62666
10,-1.0271627319172578,-2.107477,-0.1475937,0.49097678,0.99997914,0.0022907422,-0.0057964292,-0.0017076082,-0.0018946037,-0.0009491125,0.41402772,0.25060818,-0.5305664,-0.2357746,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.6882064,-1.650518,0.8441988,-23.265081
15,-1.0334748431371155,-2.107368,-0.14754486,0.4794554,0.99989307,0.004542648,-0.012535491,-0.0060031484,-0.008165954,-0.0036764403,0.64135844,-0.106577665,-0.5392145,-0.58623844,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.0267744,-0.25915575,0.9367559,-41.21376
20,-1.042904254051867,-2.1071224,-0.1474413,0.46567193,0.9997428,0.0031319642,-0.020565396,-0.009035047,-0.014681824,-0.0056799063,0.6685232,-0.30996734,-0.93005335,-0.10763745,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0782146,-1.1770928,0.06782365,-40.3862
25,-1.0233822894416604,-2.1066713,-0.14730598,0.45100358,0.9995809,0.0019732474,-0.027608577,-0.008479786,-0.028803645,-0.007129131,0.7706717,0.025037033,-0.61892354,-0.11897197,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.997638,2.3737164,0.76348877,-23.790234
30,-1.0321004304862196,-2.10587,-0.14714682,0.43393195,0.99933755,-0.00021361375,-0.034991212,-0.0100024445,-0.044344943,-0.007852116,0.83506995,-0.33551782,-0.6983207,-0.25867766,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6283517,-3.3902578,0.5462078,-43.721203
35,-1.02445515639877,-2.10474,-0.1469881,0.41622555,0.99903196,-0.0027852107,-0.042057045,-0.012593756,-0.063307375,-0.0072682295,0.8877958,-0.26383686,-0.6313907,-0.09548346,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.57723236,0.81725645,0.9384196,-41.447937
40,-1.0134849906605707,-2.1031404,-0.1468603,0.39695147,0.9988113,-0.00547638,-0.04601361,-0.015123848,-0.08375775,-0.0054054335,0.9235138,-0.22718401,-0.339694,-0.2692863,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5442356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.120466,-2.9394526,0.9708376,-2.9910316
45,-1.0276901561844454,-2.1010444,-0.1467949,0.3764835,0.9984704,-0.009253619,-0.050899494,-0.01950403,-0.11089114,-0.0016129188,1.0069761,-0.63923454,-0.22552864,-0.4296941,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2978148,1.2695249,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.3356953,0.999506,0.9926621,-31.54627
50,-1.0249500945439456,-2.0983498,-0.14684291,0.35429657,0.9982198,-0.015831862,-0.054104038,-0.019477094,-0.14223583,0.005703051,1.106927,-0.6216395,-0.43872845,0.12931749,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2981005,1.2699898,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.99228,1.8977475,0.98955727,23.8619
