step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.000393563665595,4.622942,4.130248,0.5009769,1.0,0.0,0.0,0.0,0.0,0.0,-0.09377357,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.9918904,4.1670256,-0.45547658,-24.326004
10,-1.0131661459359784,4.622942,4.130248,0.5035036,0.99999875,-0.0010262781,-0.0010267578,0.000624165,-1.1901605e-05,1.1896356e-05,-0.1396598,-0.16413188,-0.16428536,0.09865128,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0659084,2.6725001,-0.9017319,-28.78977
15,-1.0280223013515093,4.6229467,4.1302433,0.50729316,0.9999853,-0.0035113362,-0.0035171746,0.0021917392,-0.0004899279,0.00048857124,-0.18670586,-0.3503282,-0.3512821,0.22827749,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.141912,-3.8478165,-0.87750036,13.993324
20,-1.0220950033021852,4.622971,4.130219,0.5117981,0.99994844,-0.005624696,-0.0061016874,0.0058526387,-0.0016894231,0.0016786696,-0.24082647,-0.082070984,-0.30414328,0.28324136,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.9464684,-2.93661,-0.5688201,13.034237
25,-1.0237436721910353,4.623031,4.1301627,0.5175365,0.9998994,-0.0061933664,-0.009555638,0.008459058,-0.004440053,0.003911649,-0.2541306,0.055808306,-0.43594825,0.12693053,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.1871927,-1.4394121,-0.06824273,-21.766964
30,-1.026474530483595,4.6231623,4.130058,0.52338374,0.9998436,-0.0043726545,-0.0153486645,0.0076240245,-0.0077060102,0.005622911,-0.305805,0.078842245,-0.45495397,-0.20326303,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0886106,0.99060583,-0.50142175,16.712502
35,-1.0276623224422374,4.6233582,4.129931,0.531174,0.9997814,-0.0037460106,-0.019960668,0.0049573826,-0.010608267,0.0063548735,-0.42017773,0.06426511,-0.44044557,-0.26543817,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.8878202,0.89280367,-0.89538825,2.242218
40,-1.0280900497009462,4.6236234,4.129791,0.5413874,0.99969155,-0.003163567,-0.024537794,0.0021643422,-0.0142246,0.0069617047,-0.53693223,0.06282504,-0.44005018,-0.26516077,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.2164326,-0.22001171,-0.1934874,-34.994247
45,-1.0189514079360675,4.6240215,4.1296334,0.553016,0.99961805,-0.0016230715,-0.027479181,0.0024476787,-0.021494765,0.0077635683,-0.5933102,0.06901122,-0.26993498,0.16642813,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.526037,4.4786177,-0.61850977,27.293488
50,-1.0341283892865087,4.6246424,4.1294603,0.5648216,0.9994816,-0.0036852432,-0.03123198,0.0068861316,-0.037974842,0.008932655,-0.50685775,-0.13138294,-0.5108544,0.3319772,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.42923975,-0.4196911,-0.91198784,-42.014328
