step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-1.0130729537424992,1.0030408,-4.116855,0.4988007,0.9999988,0.00044999993,-0.0011838067,-0.00089995604,-0.00012730726,-0.00012715186,0.13934752,-0.10158597,-0.25063127,0.03608983,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.8408995,0.56760836,-0.20328015,-0.16874695
10,-1.0090957964911738,1.0030516,-4.116852,0.4960832,0.999996,-0.0004421261,-0.0025376386,-0.001182381,-0.0011445342,-0.000112784,0.18931969,0.10350345,-0.11491016,-0.12681064,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.4478903,-0.23725605,0.13878226,8.505375
15,-1.0193915285234318,1.0030904,-4.116851,0.4920046,0.99998087,-0.00023328689,-0.0059589627,-0.0016331247,-0.0022876468,-4.4107393e-05,0.1791703,-0.0778757,-0.39624888,0.06491802,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.9594784,-2.9139326,0.71047616,-10.888172
20,-1.010105361268982,1.0031855,-4.116851,0.48670825,0.99996805,0.00012600936,-0.007877793,-0.0013549587,-0.0059258025,-3.286745e-05,0.2693402,-0.12404597,-0.022263814,-0.18753494,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.423131,-3.1633372,0.14193726,34.19416
25,-1.019221683825221,1.0033326,-4.1168494,0.48216456,0.9999436,1.4451984e-05,-0.009295488,-0.005136856,-0.0076527437,-7.009409e-05,0.1714157,-0.008096956,-0.13596374,-0.3727517,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.08743715,1.9968677,-0.255013,23.05249
30,-1.0108431823261563,1.0035286,-4.116848,0.47923106,0.9999158,0.00044950284,-0.010158758,-0.008067602,-0.01108456,-5.0294933e-05,0.14490998,0.06661721,-0.059729606,-0.21315067,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.4242082,-3.9254255,0.45010698,18.41462
35,-1.024086946434698,1.003817,-4.116845,0.47594205,0.9998405,0.0015797263,-0.01161219,-0.01347668,-0.014908977,-0.00025681098,0.12578791,0.001302409,-0.18159269,-0.4534881,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.0390553,0.7203045,-0.38154578,41.444733
40,-1.022404476643045,1.0041797,-4.116833,0.4736822,0.9997481,0.0007359765,-0.013698719,-0.017764155,-0.019306147,-0.00076554803,0.104555726,-0.175663,-0.24897148,-0.33785075,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.7148886,-1.6889887,0.16033792,-4.913395
45,-1.0116851846250194,1.0046524,-4.116814,0.47150484,0.99968064,0.00086048985,-0.016135115,-0.019429088,-0.02604206,-0.0010512772,0.1375722,0.07322066,-0.20913447,0.09563922,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.9824848,-2.2222505,0.067682505,-13.90554
50,-1.02204382052979,1.0052484,-4.1167893,0.46952453,0.99969035,0.0031975976,-0.017493946,-0.017404824,-0.03118612,-0.0014246901,0.0908075,0.3507495,-0.27008367,0.04385173,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.971552,3.5299377,0.22160256,5.234009
