step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-0.19402547284550606,-0.05371016,-0.02452072,0.8978864,1.0,0.0,0.0,0.0,0.0,0.0,0.2028851,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.456696,-3.6255076,0.9581015,-34.181374
10,0.02702226825842244,-0.053708993,-0.024519553,0.8906131,0.99999577,0.0015815889,-0.0015840818,-0.0018424492,-0.00021150631,-0.00021110721,0.44892284,0.19279376,-0.19339588,-0.22288397,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.21965075,-1.1431956,0.70635235,-16.568985
15,-0.03648647237906613,-0.05368454,-0.024495244,0.8786065,0.99998045,0.0030055926,-0.0037775838,-0.0039742365,-0.002129838,-0.0021146669,0.6661588,-0.13558893,-0.22962107,0.0022300018,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.26223946,-1.4651122,0.93680286,-27.727861
20,-0.09935834903083807,-0.05360721,-0.024423217,0.8626718,0.99999136,0.0007322635,-0.0023514505,-0.0033415249,-0.0047099586,-0.004211794,0.8261904,-0.27901262,0.2634508,0.21474618,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.434958,2.5012598,0.85379124,-36.503395
25,-0.014915141241086893,-0.053491075,-0.024332609,0.84433115,0.99998736,-0.0043329545,-0.0012029835,-0.0022350582,-0.0060598757,-0.004155377,0.91380847,-0.72063065,0.11565615,0.028034642,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.2624207,-2.666955,0.67907476,28.694542
30,0.1297138570459171,-0.05335757,-0.024277667,0.82460654,0.999944,-0.010054271,0.0001804174,-0.0033037749,-0.0065669324,-0.0011264682,0.9789819,-0.6152792,0.027504362,-0.09692913,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.4133525,-3.656545,0.9804654,-15.9685955
35,0.050265544338480184,-0.0532217,-0.02432261,0.80343306,0.9998889,-0.013879405,5.888519e-05,-0.005435028,-0.006486349,0.004685178,1.0408081,-0.19839236,-0.13275294,-0.2697195,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5587187,-0.5677576,0.924088,25.98462
40,0.08921984863768972,-0.053088617,-0.02449911,0.78148365,0.9998465,-0.01558709,0.0018021679,-0.0077943495,-0.006268669,0.011206844,1.0652103,-0.054111715,0.28471237,-0.19624951,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3641782,3.4755573,0.94958997,22.380264
45,0.20529227725974808,-0.052972026,-0.024834067,0.7586613,0.9997697,-0.018845258,0.0039451667,-0.009480494,-0.0049691563,0.01924828,1.1075894,-0.20475447,0.11923337,-0.03145416,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2829309,-1.7465687,0.9874022,-11.913128
50,0.11569368116108025,-0.052893933,-0.025341537,0.7353212,0.99971247,-0.02006748,0.0076062763,-0.010696528,-0.0027460586,0.027924052,1.1308043,-0.06320688,0.50722766,-0.19501252,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.5755916,1.1483092,0.9599894,-20.70013
