step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-0.078762784777442,0.030920839,-0.0566993,0.8978864,1.0,0.0,0.0,0.0,0.0,0.0,0.2028851,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.4096026,-2.8409786,0.9668113,-22.522581
10,0.12573183791122972,0.030920839,-0.0566993,0.89049566,1.0,9.063464e-05,-9.063464e-05,-5.2473242e-05,0.0,0.0,0.4554218,0.043504626,-0.043504626,-0.025187155,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.5139904,0.63628435,0.95684445,-6.2157135
15,-0.08604273599314602,0.030924896,-0.05669853,0.8780115,0.99998784,0.0011764058,-0.0047629606,-0.0005230839,-0.00060296146,-0.00013212502,0.6925797,0.042805377,-0.7639456,0.05020947,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.4185381,2.0638266,0.9922793,32.244354
20,0.05150050867986333,0.030987924,-0.05668674,0.8612686,0.99991196,-1.5024002e-05,-0.013092311,-0.0021454773,-0.005269643,-0.0006995102,0.8662198,-0.101201884,-0.8050076,-0.5556137,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0574236,-1.0222774,0.9774753,21.115356
25,0.05794350777911861,0.031208472,-0.05667089,0.8416739,0.99977237,0.0012276014,-0.01991674,-0.007550358,-0.014649323,-0.0008534533,0.9854085,0.05894464,-0.65570474,-0.37312794,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.3002019,-0.14320374,0.7815821,23.12783
30,0.14569319750465665,0.031643063,-0.056645516,0.82057613,0.99958736,0.000842469,-0.026412949,-0.0112613235,-0.025865287,-0.0015199431,1.0403271,-0.09832673,-0.5121297,-0.21571535,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.2178664,2.4819589,0.98884845,15.975441
35,0.1416207951288973,0.032344833,-0.056612145,0.79844207,0.99941915,-0.00081256725,-0.03190139,-0.011956453,-0.039571565,-0.0015095706,1.0820619,0.007730414,-0.43084702,-0.07235786,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.74847937,0.6973891,0.99567974,17.557789
40,0.20461721167108982,0.03337432,-0.056588978,0.77525336,0.99931437,0.0002449985,-0.034327406,-0.013867987,-0.056183554,-0.00084361545,1.133859,0.1429085,-0.29333588,0.005411626,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2506523,-0.5883837,0.92170167,-12.214077
45,0.1894234641566062,0.034722973,-0.056570794,0.7516085,0.9992479,0.0032077215,-0.03569693,-0.014801531,-0.070956856,-0.0010723418,1.1410666,0.30395156,0.06768711,-0.13058607,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.940628,2.358479,0.95177484,13.473465
50,0.30354865027541617,0.03642084,-0.056532685,0.7273411,0.999209,0.004518901,-0.037231706,-0.013220358,-0.08767924,-0.0023491727,1.1682179,0.13296205,-0.119649865,0.032228865,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.80580664,-1.4703484,0.9962237,-2.9063988
