step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,0.020248140219620764,-0.10968757,0.06970152,0.8978864,1.0,0.0,0.0,0.0,0.0,0.0,0.2028851,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.5623665,-2.7959805,0.9759691,12.364197
10,-0.045885719637132755,-0.1096869,0.06970219,0.8905948,0.99999624,0.0016576543,-0.0016595924,-0.001420231,-0.00012165982,-0.00012159343,0.44595927,0.2882157,-0.28874758,-0.27739626,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.693174,3.519311,0.7070136,-23.045988
15,0.026355975958716943,-0.109668426,0.06972057,0.8787642,0.999974,0.0016974913,-0.0024938497,-0.0065519167,-0.0014707231,-0.0014612897,0.6451876,0.040026683,-0.065471165,-0.25883147,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.12987661,-1.5888705,0.99207854,-20.942356
20,0.06506559684297203,-0.10961238,0.069769494,0.8629298,0.99998087,0.004353,-0.0024510175,-0.0036548148,-0.0035304711,-0.0030656976,0.8273088,0.45962733,0.20381403,0.686075,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3246579,2.824592,0.90228796,-19.018421
25,-0.005716323209312535,-0.10952118,0.06986878,0.84420705,0.999964,0.007993781,0.001806414,0.0022018035,-0.004688466,-0.0061385985,0.9450957,0.5922188,0.6468428,0.86419487,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.3681593,2.3214092,0.96981955,-27.743649
30,0.2694819016290514,-0.10943594,0.07004977,0.82379526,0.9998476,0.012051892,0.006646858,0.010742775,-0.003389576,-0.010535414,0.9905258,0.17882586,0.5353164,0.66883427,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.57073593,0.35354376,0.77129817,1.2674332
35,0.12684739263150974,-0.109400265,0.07032826,0.80325615,0.99972874,0.014485408,0.0114930635,0.014161889,-0.00067883777,-0.01482482,0.9624358,0.26975974,0.337656,0.333233,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.74739313,-0.4106121,0.51385474,-15.4860935
40,0.20664043503155538,-0.10943248,0.070692085,0.7838714,0.9996255,0.015814679,0.0164685,0.015083863,0.003396054,-0.01952903,0.9170124,0.095433965,0.5036487,-0.13560683,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.17141438,-0.20588017,0.6793492,6.921932
45,0.09461448198166833,-0.109586634,0.07117677,0.76485544,0.99959636,0.017705493,0.018281493,0.012626528,0.010132376,-0.025752477,0.9071033,0.11132616,-0.010203241,-0.15273416,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.10778999,-0.91773033,-0.033735335,-18.192945
50,0.11908723841454028,-0.10987078,0.07178232,0.7465469,0.9996478,0.017946485,0.01698771,0.009675063,0.01615108,-0.031472415,0.86492836,-0.042593587,-0.2484288,-0.27012247,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0480375,-0.25149965,0.5895668,-14.705984
