step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-0.25900259241050005,-0.003447979,0.0066333706,0.8979491,0.9999988,0.00086370594,-0.00086428114,-0.00096348196,-3.6140073e-20,-7.228015e-21,0.19486591,0.23416467,-0.23446576,-0.24683027,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.584555,-4.641721,0.23656595,38.765884
10,-0.07489519750329246,-0.0034349463,0.0066463235,0.8916497,0.99994886,0.005723664,-0.005757461,-0.006029271,-0.0014848675,-0.0014735005,0.39896074,0.67163736,-0.6791349,-0.63435346,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.4894991,0.90836,0.8243182,-24.413134
15,-0.18760250381117546,-0.0033542737,0.006725764,0.8818282,0.9997178,0.01349081,-0.013658248,-0.013991843,-0.0060621738,-0.00594492,0.5105928,0.6217748,-0.6336298,-0.809536,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.3344884,-1.617794,0.8594353,37.760483
20,0.006403124510759722,-0.003121953,0.006951264,0.87000984,0.9993297,0.02003361,-0.01940064,-0.023715673,-0.014856248,-0.014341115,0.5934026,0.50525373,-0.25461558,-1.0391656,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9301403,2.6232421,2.4416928,2.3504405,2.3341293,2.3901665,2.5276513,2.7712603,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.6081333,-2.4284482,0.8653524,-19.360373
25,0.040511771279338554,-0.0026227864,0.0074424464,0.85540444,0.9990615,0.024218578,-0.016979072,-0.03164216,-0.029945469,-0.030103665,0.76942533,0.3584894,0.56040835,-0.418155,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7392366,2.5541854,2.4626455,2.4492855,2.5119834,2.660951,2.9231176,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.292438,-2.987294,-0.4019673,19.63668
30,0.04362852380421542,-0.0019014179,0.008206679,0.8390917,0.99880606,0.02839389,-0.014177932,-0.037138596,-0.037489876,-0.04108344,0.7893324,0.40986755,0.046499647,-0.51558006,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8122892,2.6332598,2.5484593,2.5438318,2.618643,2.7851782,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.43793678,-3.2517302,0.4473542,20.240273
35,-0.13412384310913522,-0.0010436479,0.009210489,0.82262725,0.9986086,0.03483118,-0.011657573,-0.03783918,-0.044631742,-0.05545581,0.827935,0.82924724,0.37919706,0.32358536,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9030285,2.6380029,2.486551,2.4211156,2.4310067,2.5177946,2.6959565,2.9993253,3.0,3.0,3.0,3.0,3.0,3.0,0.18197918,2.192473,0.58281493,38.357544
40,-0.0998285858439188,-3.7915277e-05,0.010579968,0.8048942,0.9984248,0.04111591,-0.008447666,-0.03722827,-0.050848514,-0.073988035,0.8807956,0.4485275,0.27599275,0.10672881,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.700387,2.4838078,2.3659403,2.3262317,2.3583071,2.4672954,2.6719654,3.0,3.0,3.0,3.0,3.0,3.0,1.6828961,-2.8710666,0.7551644,37.324272
45,-0.10396993951700184,0.001073201,0.012347364,0.78636247,0.9982808,0.048172228,-0.0019524838,-0.033331126,-0.054563332,-0.091347024,0.8835531,0.83751506,0.7207495,0.57709485,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8784926,2.5509107,2.354501,2.249642,2.2182515,2.2553082,2.3667586,2.5720084,2.913158,3.0,3.0,3.0,3.0,-0.78401613,-1.4003229,0.78238773,36.47699
50,0.15479868683848452,0.0022276156,0.014520726,0.7677318,0.9978548,0.05686587,0.005526073,-0.03195992,-0.05548709,-0.11294685,0.89523643,0.6932008,0.65810436,0.10848511,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5623734,2.292953,2.133455,2.0530267,2.0381193,2.0863633,2.205587,2.4171576,2.7666059,3.0,3.0,3.0,-0.82313967,-2.5969405,0.8570807,-11.32095
