step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,0.08657892123829983,-0.04126391,0.077278994,0.8978864,1.0,0.0,0.0,0.0,0.0,0.0,0.2028851,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.743528,2.5252476,0.98203254,-5.3565025
10,0.18362197472980238,-0.04126391,0.077278994,0.8904937,1.0,-3.7429625e-05,3.7429625e-05,-2.1670014e-05,0.0,0.0,0.45589474,-0.01796622,0.01796622,-0.010401607,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.4193339,0.5113597,0.99206233,-0.98988724
15,-0.026832329878749173,-0.04126436,0.0772785,0.87827027,0.999999,0.0010906975,0.00027055573,0.00086630986,8.3767e-05,1.6455242e-05,0.6769078,0.12026056,0.07592974,-0.089031115,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.456571,0.024191856,0.9489075,26.95475
20,-0.09172282304679918,-0.041267987,0.07728829,0.8618577,0.9999903,0.0026624994,0.0020743855,0.0028372437,0.00028598408,-0.0008775966,0.8536224,0.28686485,0.24563584,0.034959387,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.1603754,0.46952152,0.9689709,-36.511036
25,-0.08910233375683796,-0.04129117,0.07732876,0.8425062,0.99995464,0.005214737,0.00417808,0.006782981,0.001793199,-0.0028127837,0.97491324,0.425355,0.38348395,0.60236585,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.4078116,-1.7850318,0.9733732,-37.750397
30,-0.08693388479982239,-0.0413564,0.07742355,0.8215238,0.9998967,0.01049728,0.0059919395,0.00777407,0.004302948,-0.006146628,1.0315716,0.5502723,-0.055665392,-0.25418758,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.24432945,2.665329,0.99356174,-39.015198
35,-0.03599039064410592,-0.041487645,0.07762393,0.7992065,0.9998603,0.01536444,0.0056155403,0.0034295612,0.0075145,-0.012119176,1.0907851,0.4192009,0.07506399,-0.4038508,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.39131784,-0.87917376,0.96935964,-35.15732
40,0.17903178124112912,-0.041678872,0.077975184,0.77593356,0.9997607,0.021293662,0.0049081985,0.0010113964,0.0102597745,-0.020358773,1.1325709,0.5800519,-0.066304035,0.09068987,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.80402136,-0.4946432,0.9618515,-14.365932
45,-0.09730524888544634,-0.041919187,0.07851491,0.75224894,0.9996136,0.027267054,0.0050111613,0.0020151122,0.012369631,-0.029883126,1.1379086,0.48645547,0.05635807,-0.17049544,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.9035053,-3.0508852,0.9433323,-42.158836
50,-0.1200192085226483,-0.04220595,0.079304524,0.72809494,0.9994538,0.03271244,0.004686864,-7.4635995e-05,0.014639528,-0.043697234,1.1755308,0.63875186,0.18086883,0.011430941,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.50299263,-0.052805424,0.9299195,-44.81956
