step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-0.14955746268979805,-0.15791896,-0.034374535,0.8978864,1.0,0.0,0.0,0.0,0.0,0.0,0.2028851,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8912392,4.8068056,0.92211986,-29.61435
10,-0.2093291420436437,-0.15791896,-0.034374535,0.8904961,1.0,-0.000101641905,-1.3508613e-05,7.819834e-06,-1.3552527e-21,9.035019e-22,0.45551986,-0.0382114,-0.017060144,0.009878164,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.100172,4.781809,0.97731686,-40.846
15,-0.1929276070537945,-0.15792121,-0.034378424,0.8781859,0.9999845,-0.0049232733,0.0019264729,-0.001732031,0.00037757028,0.0005735464,0.680327,-0.81521124,0.027442195,0.0015375115,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.8709683,4.182415,0.99524784,-42.248093
20,-0.10346367467848977,-0.15795179,-0.034447968,0.86155385,0.9998265,-0.01754729,0.004175648,-0.004655439,0.002404657,0.0062568034,0.868471,-1.3554846,0.21686053,-0.5028104,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.6020584,-1.0760677,0.99719954,-35.697628
25,-0.02423934221502405,-0.15803881,-0.034724735,0.8419503,0.9995915,-0.027222127,0.006807879,-0.0054205353,0.005568317,0.018701103,0.982335,-0.86904114,0.07910553,0.09535205,3.0,3.0,3.0,3.0,3.0,3.0,2.9348736,2.8342938,2.8233223,2.900217,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.7299895,-2.8460708,0.9899944,-30.788801
30,0.10589069499140857,-0.15820277,-0.035306536,0.82056797,0.99934876,-0.034413412,0.0067076995,-0.0085345,0.009286469,0.034135398,1.0465293,-0.4810416,-0.07382291,-0.4287414,3.0,3.0,3.0,3.0,3.0,2.9406493,2.7155511,2.5957258,2.560541,2.6043713,2.7342544,2.972842,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.93363,-0.8720417,0.9472747,19.108131
35,0.2344320710456052,-0.15843719,-0.036223114,0.7983574,0.9990729,-0.038923856,0.0060071344,-0.017382901,0.012430275,0.050499417,1.0740571,-0.39347482,0.07900186,-0.9073651,3.0,3.0,3.0,3.0,3.0,3.0,2.7674813,2.6213279,2.5638304,2.585679,2.6903512,2.8955467,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.8663397,3.0355253,0.85872936,4.9496994
40,0.24695136621218983,-0.15873273,-0.037494656,0.7757495,0.9987565,-0.042954613,0.004788966,-0.024846295,0.015382896,0.06842647,1.0940293,-0.31264296,-0.29635623,-0.68048656,3.0,3.0,3.0,3.0,3.0,3.0,2.8665943,2.6890733,2.6068459,2.6063404,2.687477,2.8636334,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.9789352,-3.3633792,0.97733617,-2.509468
45,0.10733362707317151,-0.15908933,-0.039182365,0.7524741,0.9984086,-0.04667662,0.005260501,-0.03120693,0.018283041,0.089774385,1.1347381,-0.47506952,0.13182628,-0.87919295,3.0,3.0,3.0,3.0,3.0,3.0,2.9190245,2.7354383,2.6493134,2.6464012,2.7262397,2.901963,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-3.6269145,-2.4883099,0.9235451,-19.461496
50,0.022946219208711316,-0.15950134,-0.04127069,0.72906244,0.9979688,-0.048562527,0.005177771,-0.040904544,0.02105035,0.10899325,1.1334866,-0.15280324,0.046880964,-0.6722118,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8928962,2.7938316,2.7830899,2.8589659,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0872629,-2.1608174,0.9706154,-28.949554
55,0.26885788334144384,-0.1599798,-0.04381071,0.7052256,0.9973534,-0.051704917,0.0069017094,-0.05064778,0.024525238,0.1320082,1.1654369,-0.58090216,0.23028086,-0.7988501,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.933357,2.8415034,2.838866,2.9250267,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.8022356,-0.70474243,0.97879016,-3.1764297
60,0.24041088859650211,-0.1605422,-0.046835996,0.6808351,0.9964296,-0.056902397,0.009808499,-0.061594393,0.028810339,0.15417774,1.1727175,-0.52007455,0.37918946,-1.1365709,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8501158,2.7743163,2.784869,2.883449,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.8821046,-0.31770897,0.9948356,-6.369831
65,0.13402279699779335,-0.16120271,-0.050302017,0.65670484,0.99560183,-0.060508985,0.011789149,-0.070545405,0.03361298,0.17396487,1.1423868,-0.21786436,0.24978168,-0.6575076,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8633833,2.7935798,2.8104608,2.9167087,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.1230593,-1.3421404,0.765224,16.675678
70,0.23091116235669673,-0.16195929,-0.054130707,0.63374674,0.9952974,-0.060403895,0.013643321,-0.07448771,0.03889191,0.1928229,1.0955125,0.28470147,0.25392506,-0.119077995,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9639819,2.9953933,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.5622568,-1.5376198,0.9773071,7.1881447
75,0.22596138363359758,-0.1628542,-0.058423433,0.6111372,0.99567467,-0.053898826,0.015325691,-0.07410814,0.045223556,0.2131018,1.0651338,0.8771754,0.26696357,0.25427005,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.8033063,-3.1080782,0.6902478,-4.3734665
80,-0.02035597557306512,-0.16387309,-0.063060604,0.5895498,0.9963628,-0.042623892,0.018212361,-0.07150278,0.05253047,0.23122616,1.0440995,1.3728513,0.2402155,0.28383985,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5358896,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.7909751,-3.7065034,0.9111172,-28.836338
85,-0.10803156255968105,-0.16506633,-0.068064176,0.56802136,0.9971806,-0.02508642,0.021704042,-0.067309104,0.059631914,0.24397154,1.0058826,1.8497475,0.23207462,0.42208987,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5340168,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.008534908,-3.0076373,0.86821747,-35.88304
90,0.12520756641059239,-0.16644804,-0.073270395,0.54663944,0.9978749,-0.0048976606,0.025621643,-0.059709124,0.07148005,0.25302628,1.0522141,1.9864792,0.38664487,0.87192976,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5427833,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.516037,-2.2013068,0.7468449,-12.165787
95,0.18815684565257337,-0.1680819,-0.07854425,0.5245295,0.99825615,0.017824069,0.033287574,-0.045375366,0.08335755,0.25205398,1.0672126,2.1651173,0.53532714,1.6162088,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.06633234,-0.20249462,0.9922502,-5.5007324
100,0.11732741098592092,-0.17001407,-0.08366532,0.50185263,0.9980587,0.036708344,0.038360942,-0.032554332,0.09979427,0.23988108,1.1095933,1.6187791,0.5586801,0.87641406,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.013586044,2.8745246,0.9800234,-14.265131
105,-0.10886006451153629,-0.17229542,-0.088446185,0.47859907,0.99738485,0.048665423,0.046027966,-0.027139924,0.11654949,0.22152212,1.1229569,0.9244997,0.75144863,0.42086673,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.7331066,1.1535258,0.94007266,38.41484
110,-0.29091064314258813,1.8249929,-0.09273902,0.45463645,0.996465,0.056170177,0.057866916,-0.023532126,0.13845962,0.1967889,1.15278,0.5791127,1.2517666,0.31517026,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.9717207,-2.3798876,0.99412644,-44.636497
