step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-0.20611596541599306,-0.11899206,-0.1979072,0.8978864,1.0,0.0,0.0,0.0,0.0,0.0,0.2028851,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5995302,-4.472766,0.95165753,35.250664
10,0.1300679738777233,-0.11899206,-0.1979072,0.89050245,0.99999994,0.00027508073,0.00027508073,0.00015925895,0.0,0.0,0.45378226,0.13203876,0.13203876,0.076444305,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6914239,-3.5871263,0.7841351,-5.3963814
15,0.12257704090659283,-0.11899772,-0.1978999,0.8782325,0.99998,0.004718124,0.0023972262,0.003477424,0.0006638766,-0.0009616864,0.6808599,0.56694716,0.2901135,0.35788748,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.3503685,-1.7239132,0.5717318,9.894981
20,-0.003643785767288077,-0.11902998,-0.19783837,0.8627727,0.9999157,0.011453243,0.0025533377,0.005552848,0.002232232,-0.0048886277,0.792398,0.72566617,0.12608106,0.203019,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.4959965,0.47226,0.92821693,25.306778
25,-0.09677156856592678,-0.11909957,-0.19764599,0.8449238,0.9998349,0.016890222,0.0053682844,0.0040089684,0.004284838,-0.0124558,0.8934335,0.5910688,0.26270252,-0.028752912,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.5782328,-1.3279934,0.84287894,36.587982
30,0.18801054805517842,-0.11921984,-0.1972862,0.8260266,0.99969786,0.023278717,0.0078868205,-0.00031022038,0.0070239757,-0.021383295,0.9279833,0.57078975,0.2981387,-0.7247779,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2988162,2.1304965,0.9205289,-7.812912
35,0.09834315231079105,-0.11941883,-0.19669063,0.806066,0.9994836,0.028790811,0.011385753,-0.008600148,0.011622256,-0.034196686,0.98807544,0.77715206,0.46260458,-0.5882258,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.6154623,0.6617813,0.95786977,-17.520489
40,0.2208408304917867,-0.11972795,-0.19580224,0.78501964,0.99918896,0.035131242,0.013344112,-0.014463711,0.016790997,-0.04786037,1.0105467,0.41436043,0.3004679,-0.7289856,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9222853,2.8634675,2.893143,3.0,3.0,3.0,3.0,3.0,-1.498877,-0.0115151405,0.78209805,-6.2249146
45,-0.05528349728697357,-0.12014078,-0.19463125,0.76408124,0.99888813,0.040031463,0.015282291,-0.019658143,0.021790398,-0.06162184,0.9962262,0.4538588,0.26565698,-0.57836187,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9722776,2.8172066,2.7571342,2.7823453,2.8968537,3.0,3.0,3.0,3.0,-1.13136,-0.78115034,0.69785047,33.88836
50,0.1369495749266822,-0.12066786,-0.19314288,0.74337935,0.9985612,0.043387473,0.016564937,-0.026807427,0.027417999,-0.07736845,0.98217124,0.15401739,0.034681264,-0.55720246,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.992243,2.8322182,2.7682834,2.790075,2.9010592,3.0,3.0,3.0,3.0,3.8174448,-3.5718787,0.94507647,14.723938
55,0.2360798004665342,-0.12134703,-0.19122554,0.7220147,0.99831146,0.0458649,0.018091332,-0.030714601,0.036071472,-0.10183137,1.0525656,0.3628655,0.22896042,-0.36139664,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9001842,2.8271835,2.8420002,2.9469874,3.0,3.0,3.0,3.0,-0.30058908,3.5243187,0.9312551,-5.4062195
60,0.25027920029194456,-0.12219301,-0.18884309,0.6998388,0.9980671,0.047426973,0.020930028,-0.03427422,0.04433684,-0.12434862,1.0886227,0.3008332,0.3740561,-0.17517185,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.913782,2.906856,2.990616,3.0,3.0,3.0,3.0,-2.574062,3.479104,0.9243368,3.7927933
65,0.2546893048055625,-0.12320452,-0.18603598,0.6774681,0.9980902,0.04743312,0.023518566,-0.031825975,0.05232655,-0.14373016,1.0844679,-0.0036082854,0.29025277,0.5734317,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.18190002,-0.20312643,0.99483943,-5.443039
70,0.26820976947089625,-0.12443053,-0.18274574,0.65435034,0.9982603,0.046954025,0.025146432,-0.025284592,0.062296886,-0.1651198,1.1031862,-0.08933339,0.092101984,0.52115905,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.966922,-3.8984907,0.98456526,-2.0994034
75,0.010204906460110685,-0.12588517,-0.17899159,0.63062996,0.9982247,0.048681505,0.025283951,-0.023203121,0.07375199,-0.18814233,1.139739,0.09729021,0.2086255,0.056737244,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.6031265,0.6353593,0.9422511,-31.476082
80,-0.07609859575227568,-0.12754285,-0.1748253,0.6069251,0.99818796,0.050112665,0.025358578,-0.02159907,0.08301128,-0.20694827,1.1268504,0.23058969,-0.12168695,0.108673885,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8980265,3.3937283,0.98323774,-39.71233
85,-0.004282647927850991,-0.1293926,-0.17026597,0.58353955,0.99816614,0.04869377,0.027235214,-0.023484852,0.09281986,-0.22707905,1.1223261,-0.38430056,0.31637156,-0.26728106,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.7100346,0.52123594,0.986431,32.126457
90,0.2610628708590985,-0.13145824,-0.16528818,0.5601808,0.99827415,0.044949602,0.02932873,-0.023833899,0.10282256,-0.24534738,1.1075304,-0.34311122,0.074267656,0.026596766,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.976703,3.0,3.0,3.0,3.0,3.0,-1.0720861,-2.4609332,0.9739666,5.2568817
95,0.010137400493364146,-0.13376608,-0.15990914,0.53671163,0.9983544,0.044495016,0.028218351,-0.022637915,0.114290476,-0.26378608,1.107614,-0.016893007,-0.22472128,0.2821059,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9738564,3.0,3.0,3.0,3.0,3.0,0.33626604,3.7838879,0.9147315,-30.289303
100,0.1227519926628331,-0.1362557,-0.15423517,0.51416516,0.99860185,0.0412272,0.02603039,-0.020421667,0.12347576,-0.27897924,1.0767449,-0.52346027,-0.2510354,0.2565821,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9720578,3.0,3.0,3.0,3.0,3.0,1.2501278,-0.8504286,0.98587203,18.4819
105,0.16978347328496285,-0.13897502,-0.14818196,0.49136537,0.99886584,0.037893225,0.024680635,-0.014897726,0.13442115,-0.29677147,1.0911965,-0.2830026,-0.3249834,0.45616576,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.980675,3.0,3.0,3.0,3.0,3.0,1.1230946,3.846386,0.98531306,-13.141069
110,0.03029541262999691,-0.1419098,-0.1417891,0.46835327,0.9990705,0.0334362,0.02298477,-0.014554007,0.14539841,-0.31393865,1.1214687,-0.43603528,-0.14683783,-0.14244075,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9720497,3.0,3.0,3.0,3.0,3.0,2.8109741,-1.1274586,0.9943774,28.57383
115,-0.12426700299794119,1.854934,-0.13506152,1.4446979,0.9991348,0.029182479,0.024383586,-0.01683794,0.15436025,-0.32693765,1.1182026,-0.3956325,0.19466755,-0.318873,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.955367,3.0,3.0,3.0,3.0,3.0,2.601564,-4.244767,0.90830445,38.43612
120,-0.04693980557862859,1.8515946,-0.12809983,1.4213347,0.9990271,0.028622353,0.02941394,-0.016139537,0.16267821,-0.33679888,1.0882989,0.039559174,0.5455069,0.212227,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.949917,3.0,3.0,3.0,3.0,3.0,2.8786497,2.9461665,0.7855934,29.982956
125,0.1185101795359153,1.8480958,-0.12097992,1.3993309,0.9988495,0.02907901,0.03544809,-0.014054661,0.17212893,-0.34545666,1.0417254,0.092734724,0.4839995,0.25072008,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9492352,3.0,3.0,3.0,3.0,3.0,1.8753057,0.93816996,0.82198715,13.210388
130,0.12179719915107401,1.8443329,-0.11364059,1.3776706,0.998598,0.029538002,0.042723086,-0.010216288,0.18579131,-0.35622007,1.0277169,0.14794879,0.7394936,0.57568383,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9541805,3.0,3.0,3.0,3.0,3.0,-2.0495942,-2.0207622,0.620633,11.565357
135,0.11263690921316674,1.840317,-0.10612385,1.3571273,0.99829817,0.030203102,0.04940045,-0.00694198,0.19966502,-0.36523226,0.9804264,-0.016781133,0.6161355,0.06642845,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9573355,3.0,3.0,3.0,3.0,3.0,-1.0174787,-4.0244484,0.28555703,-12.343025
