step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-0.17240109872035178,-0.18584546,0.13450606,0.8978864,1.0,0.0,0.0,0.0,0.0,0.0,0.2028851,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.747343,-1.1311746,0.9952879,-31.97279
10,-0.14888941997287375,-0.18584546,0.13450606,0.89050835,0.9999999,0.00020786622,0.00043327914,0.00012036086,8.131517e-21,2.7105055e-21,0.45287687,0.12684023,0.18091959,0.07341912,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.744853,2.1646528,0.9943558,-34.14817
15,0.19091006781223127,-0.18585368,0.13450731,0.87808037,0.9999869,-0.00013273126,0.0051009064,0.0003946273,0.0010476112,-8.8957044e-05,0.6889389,-0.0962948,0.46520182,0.23954177,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0875406,2.648075,0.8466039,-2.5556793
20,0.07398652613501389,-0.18592134,0.13450623,0.8623605,0.9999039,-0.001054881,0.013450932,0.0031781474,0.005446425,0.00027346506,0.8063965,0.044004165,0.9287882,0.6135713,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.85461426,2.385621,0.9246199,16.892193
25,-0.03251521740359342,-0.18615243,0.134489,0.8438906,0.9996472,-0.0024324197,0.024211043,0.010646352,0.015407007,0.0013120772,0.9310575,-0.11950032,1.1090928,0.78291357,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.010917664,-2.6491556,0.6190002,28.785667
30,0.1633104067890916,-0.18661459,0.1344468,0.8242542,0.9992872,-0.0028159018,0.034122232,0.015901105,0.027511165,0.002545873,0.9558834,-0.04478191,1.0008407,0.61230934,2.5736964,2.5831,2.6741223,2.8619285,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8068318,2.6444187,-0.59283066,3.2516108,0.8088213,-9.865765
35,0.006429095861292644,-0.18735963,0.13437581,0.80438805,0.99883384,-0.00620026,0.04418063,0.018455345,0.040542226,0.003998602,0.9345006,-0.43367705,1.0375253,0.04946613,2.2106276,2.1976304,2.2528365,2.385229,2.6186893,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7452617,2.4613912,2.2938926,-0.39769936,-4.004397,0.7096869,25.151596
40,0.07986529784338936,-0.18837519,0.134265,0.78555465,0.9983721,-0.010656391,0.053165462,0.017692182,0.054086056,0.006300272,0.87771046,-0.42132014,0.77140224,-0.1856669,2.0129118,1.980386,2.0089655,2.1032228,2.2794292,2.5731947,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5973384,2.2941234,2.1117601,2.214285,-2.2115672,0.8383713,17.576694
45,0.09081159240574815,-0.18979056,0.13407154,0.76711357,0.9979074,-0.012813456,0.061015896,0.017137792,0.073545165,0.010526661,0.8533247,-0.22273473,0.6585506,-0.0002718874,1.9055376,1.8715287,1.8952903,1.9806168,2.1421447,2.4121592,2.8594759,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9656222,2.47486,2.1803026,2.0027852,-2.0510883,0.8688574,0.9170244,16.269936
50,0.193522225113944,-0.19161923,0.13378415,0.74946,0.9974429,-0.014809097,0.06709148,0.019675411,0.09382192,0.0152338715,0.8133478,-0.10306406,0.5491901,0.19261499,1.8638238,1.828066,1.848771,1.929241,2.0832126,2.3411984,2.76811,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.4451025,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.924096,2.4333203,2.139269,1.9618059,0.07792568,-0.8741636,0.62785995,-4.998764
