step,reward,rel_x,rel_y,rel_z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,act_vx,act_vy,act_vz,act_yaw
5,-0.2789642252871489,-0.0912893,0.0051029604,0.8979405,0.99999905,-0.00075594825,-0.0007562999,0.00084540836,2.1684044e-20,7.228015e-21,0.19639586,-0.18136531,-0.1815341,0.20287572,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.6834216,-0.7211509,0.90891945,-42.314217
10,-0.21843418503138165,-0.09127839,0.0050920974,0.8907346,0.99998003,-0.0035717501,-0.0035835137,0.0037874312,-0.0011885896,0.0011825906,0.4448864,-0.20275334,-0.20301001,0.35446626,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.25956059,-3.3865948,0.91410756,-40.996933
15,-0.1396949789573266,-0.091211386,0.0050301338,0.8785137,0.99994314,-0.002218088,-0.0052994993,0.008986309,-0.004801969,0.004117363,0.67776316,0.2605168,-0.021639328,0.8127473,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.4680626,-1.1533184,0.96443534,-37.112587
20,-0.08098544921508599,-0.091059774,0.0049262377,0.8622444,0.9998841,0.00090708374,-0.0066387584,0.013666893,-0.008735957,0.005213355,0.82365716,0.4105726,-0.16144744,0.24781284,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.08329,1.9006243,0.91727257,-34.579914
25,-0.12247567207658333,-0.09082319,0.004825927,0.8436935,0.9998255,0.0046845158,-0.009761354,0.015224087,-0.012806919,0.004430349,0.9005537,0.43869576,-0.16275872,0.011530508,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.4278584,1.7825022,0.95988595,-40.30072
30,-0.09619210616874085,-0.09048776,0.004767858,0.8239453,0.99980855,0.0075055826,-0.011177836,0.014198659,-0.018270914,0.0015515033,0.9722447,0.26391953,-0.016383847,-0.16268998,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.3623753,0.34905005,0.91703796,-39.435963
35,0.009865195067917998,-0.090042986,0.0047791684,0.8034085,0.999791,0.009752131,-0.013887098,0.011400934,-0.023027595,-0.0017257663,0.97472626,0.29884452,-0.3206634,-0.45950016,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.1492805,3.0957108,0.74725914,-27.633995
40,-0.035413138475484995,-0.08948497,0.00487149,0.7828344,0.99983114,0.0097286375,-0.013738761,0.007367606,-0.02988994,-0.0066545834,1.014587,-0.12036256,0.075722635,-0.1264922,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.9731226,-3.7187386,0.96995366,-34.39633
45,0.00015320882942648772,-0.08877801,0.005070977,0.7612011,0.99981976,0.009932576,-0.014622091,0.006928065,-0.035806514,-0.010882842,1.0232025,0.1261462,0.025937311,0.168873,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.4818821,1.9324694,0.6497594,-30.324656
50,-0.04995379111643389,-0.08794895,0.0053556073,0.7395645,0.9997813,0.01075692,-0.014962571,0.009888364,-0.04309652,-0.015993327,1.0716118,0.085482135,-0.21122828,0.41493973,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.9519167,-1.0054803,0.9146366,-36.39245
55,0.19755121433066303,-0.08697519,0.005746261,0.7172245,0.9996822,0.012758913,-0.016498262,0.014161707,-0.048947535,-0.020497538,1.0628651,0.012067552,-0.12666695,0.31088763,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-0.72418165,-3.2980962,0.9523494,11.435406
60,0.0003943528434483534,-0.08586984,0.0062417025,0.69503725,0.9996502,0.013322301,-0.01857185,0.013310313,-0.055858687,-0.025956778,1.064233,-0.0300685,-0.055804618,-0.29625258,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.25792408,0.85971117,0.9751322,-31.69014
65,0.12544170428769746,-0.084590405,0.006867812,0.6722488,0.9997305,0.012724324,-0.017793983,0.007770607,-0.06498819,-0.032653645,1.1102215,-0.15741907,0.071583755,-0.46713907,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7939746,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.557504,-2.026132,0.9905211,-19.588102
70,0.2727748542334247,-0.08313508,0.007622016,0.64880824,0.99977374,0.011020971,-0.018156797,0.0011777203,-0.07277757,-0.03825111,1.1257951,-0.33518344,-0.10119298,-0.5471049,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.807567,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.600449,2.3319736,3.0,3.0,3.0,3.791461,-2.7699146,0.911662,-0.6853409
75,0.023451696969496616,-0.08153538,0.008469483,0.62557644,0.9997772,0.00879346,-0.018665908,-0.004454851,-0.07993164,-0.042430867,1.1203507,-0.32448268,-0.12893446,-0.58870614,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8198035,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.299783,3.0,3.0,3.0,-1.2581336,0.716177,0.97010446,-29.755135
80,0.2523092679057295,-0.07976369,0.009400696,0.60194767,0.99975574,0.005378355,-0.020510117,-0.006236664,-0.08849506,-0.045944363,1.1419781,-0.227402,-0.28554925,-0.117691055,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8241956,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.2888935,3.0,3.0,3.0,-4.0045547,-0.84923077,0.8918221,-6.6993217
